Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
4,Electrical Safety,Easy,Which transformer is used at power plants to increase voltage for long-distance transmission?,Step-down transformer,Step-up transformer,Isolation transformer,Control transformer,B,Step-up transformers increase voltage to reduce energy loss as heat during transmission over long distances.
4,Electrical Safety,Medium,Why is electricity transmitted at extremely high voltages across national grids?,To make it travel faster,To reduce the current and minimize energy loss due to resistance,To prevent lightning strikes,To allow it to flow through plastic wires,B,High voltage allows for lower current; since heat loss is proportional to the square of the current--this makes long-distance transmission efficient.
4,Electrical Safety,Hard,What is the primary function of a 'Step-down' transformer located near residential neighborhoods?,To increase the current for factories,To reduce high transmission voltage to a safer level (e.g. 110V or 220V) for home use,To turn AC into DC,To store electricity for power outages,B,Transmission voltages are far too high for household appliances; the step-down transformer makes the electricity safe for domestic consumption.
4,Electrical Safety,Medium,Which safety device contains a thin metal strip that melts and breaks the circuit if the current becomes too high?,Circuit breaker,Ground wire,Fuse,Switch,C,A fuse is a sacrificial device that protects a circuit by melting when an overload occurs--requiring replacement once it "blows."
4,Electrical Safety,Easy,What is the main advantage of a circuit breaker over a traditional fuse?,It is cheaper to manufacture,It can be reset and reused after it trips,It increases the voltage of the house,It works without electricity,B,Unlike fuses--circuit breakers use electromagnets or bimetallic strips to flip a switch that can be toggled back on once the fault is cleared.
4,Electrical Safety,Hard,What does a GFCI (Ground Fault Circuit Interrupter) monitor to prevent electric shocks in wet areas like bathrooms?,The temperature of the outlet,The total voltage of the house,The balance of current between the hot and neutral wires,The price of electricity,C,A GFCI detects tiny "leaks" in current (ground faults) and shuts off power in milliseconds to prevent electrocution.
4,Electrical Safety,Medium,What is the purpose of the 'Ground' wire (the third prong) in an electrical plug?,To provide extra power for heavy appliances,To provide a low-resistance path to the Earth in case of a short circuit to the metal casing,To help the plug stay in the wall,To filter out electrical noise,B,The ground wire ensures that if a live wire touches the metal exterior of a device--the current goes to the ground instead of through the person touching it.
4,Electrical Safety,Easy,Which material is commonly used to coat electrical wires to prevent accidental contact and short circuits?,Copper,Aluminum,Rubber or Plastic,Steel,C,Rubber and plastic are excellent insulators that prevent electricity from leaving the path of the conductor.
4,Electrical Safety,Hard,What occurs during a 'Short Circuit' that makes it a significant fire hazard?,The resistance becomes infinitely high,The voltage drops to zero,The resistance drops to near zero causing a massive surge in current and heat,The circuit turns into a battery,C,According to Ohm's Law -- if resistance (R) is very low -- the current (I) becomes extremely high -- leading to rapid heating and potential fires.
4,Electrical Safety,Medium,Why should you avoid plugging too many high-power appliances into a single extension cord or power strip?,It will make the appliances run too fast,The combined current can exceed the wire's rating and cause it to overheat,It will decrease the house voltage,It will cause the electricity to flow backward,B,Every appliance adds to the total current; overloading a wire causes it to heat up due to its internal resistance.
4,Electrical Safety,Easy,What is the standard voltage provided to most homes in the Philippines?,50V,110V,220V,440V,C,While standards vary globally -- 220V is the typical domestic voltage used in Philippine households.
4,Electrical Safety,Hard,In a home electrical panel--are the different rooms typically connected in series or parallel?,Series,Parallel,A mix of both,Neither,B,Home circuits are wired in parallel so that each room/appliance receives the full voltage and can operate independently of others.
4,Electrical Safety,Medium,What is the function of the 'Main Switch' in a consumer unit or fuse box?,To change the color of the lights,To shut off the electrical supply to the entire building for maintenance or emergencies,To boost the internet signal,To regulate the speed of electric motors,B,The main switch provides a single point of control to completely de-energize the home's electrical system.
4,Electrical Safety,Easy,Which of the following is a dangerous practice when handling electrical devices?,Unplugging a toaster before cleaning it,Using a hairdryer near a filled bathtub,Using a surge protector for a computer,Labeling the circuit breakers,B,Water is a conductor; using electrical devices near water creates a high risk of a ground fault and electrocution.
4,Electrical Safety,Hard,What does a 'Surge Protector' do that a standard power strip might not?,It increases the number of outlets,It limits the voltage supplied to electric devices by blocking or shorting voltages above a safe threshold,It makes the electricity cleaner,It stores power for blackouts,B,Surge protectors protect sensitive electronics from "spikes" in voltage caused by lightning or grid switching.
4,Electrical Safety,Medium,What is the color of the insulation usually used for the Ground wire in modern household wiring?,Red,Black,Green or Yellow-Green,Blue,C,International standards often use green or green/yellow stripes to identify the safety grounding wire.
4,Electrical Safety,Easy,Which subatomic particles are moving through the wires in your home to provide power?,Protons,Neutrons,Electrons,Positrons,C,Electric current in metal wires is the flow of valence electrons.
4,Electrical Safety,Hard,Why does a 'Service Drop' (the wires from the pole to the house) usually have three wires?,For redundancy in case one breaks,To provide two 'hot' lines and one 'neutral' to allow for both 110V and 220V circuits,To make the wires stronger,To carry internet and telephone signals,B,Standard residential service provides a split-phase system to accommodate different appliance voltage requirements.
4,Electrical Safety,Medium,What is the risk of using a fuse with a higher Ampere rating than what is recommended for a circuit?,The fuse will blow too often,The fuse may not melt when it should -- allowing the wires to overheat and start a fire,The electricity will become too expensive,Nothing—it is actually safer,B,Using a 30A fuse in a 15A circuit is dangerous because the wires will melt before the fuse does.
4,Electrical Safety,Easy,What should you do if you see a downed power line after a storm?,Move it out of the road with a stick,Stay at least 10 meters away and call emergency services,Touch it to see if it is still live,Drive over it quickly,B,Downed lines can energize the ground around them; staying away is the only way to ensure safety.
